img1_index,img2_index,img1_name,img2_name,inliers,overlap
20,30,frame000020.png,frame000030.png,167,0.09653179190751444
20,31,frame000020.png,frame000031.png,163,0.09421965317919075
20,32,frame000020.png,frame000032.png,118,0.06820809248554913
20,33,frame000020.png,frame000033.png,112,0.06473988439306358
21,22,frame000021.png,frame000022.png,664,0.37535330695308083
21,23,frame000021.png,frame000023.png,591,0.33408705483323914
21,24,frame000021.png,frame000024.png,471,0.2662521198417185
21,25,frame000021.png,frame000025.png,389,0.21989824759751272
21,26,frame000021.png,frame000026.png,410,0.23176936122102884
21,27,frame000021.png,frame000027.png,394,0.22272470322215943
21,28,frame000021.png,frame000028.png,311,0.1758055398530243
21,29,frame000021.png,frame000029.png,240,0.13566986998304126
21,30,frame000021.png,frame000030.png,207,0.11701526286037309
21,31,frame000021.png,frame000031.png,160,0.09044657998869418
21,32,frame000021.png,frame000032.png,130,0.07348784624081402
21,33,frame000021.png,frame000033.png,118,0.06670435274166196
21,34,frame000021.png,frame000034.png,83,0.046919163369135104
22,23,frame000022.png,frame000023.png,792,0.43137254901960786
22,24,frame000022.png,frame000024.png,662,0.36056644880174293
22,25,frame000022.png,frame000025.png,620,0.33769063180827885
22,26,frame000022.png,frame000026.png,581,0.3164488017429194
22,27,frame000022.png,frame000027.png,560,0.30501089324618735
22,28,frame000022.png,frame000028.png,428,0.23311546840958605
22,29,frame000022.png,frame000029.png,307,0.16721132897603486
22,30,frame000022.png,frame000030.png,252,0.13725490196078433
22,31,frame000022.png,frame000031.png,190,0.10348583877995643
22,32,frame000022.png,frame000032.png,157,0.0855119825708061
22,33,frame000022.png,frame000033.png,131,0.07135076252723312
22,34,frame000022.png,frame000034.png,87,0.04738562091503268
23,24,frame000023.png,frame000024.png,818,0.4367325146823278
23,25,frame000023.png,frame000025.png,772,0.41217298451681794
23,26,frame000023.png,frame000026.png,715,0.3817405232247731
23,27,frame000023.png,frame000027.png,645,0.3443673251468233
23,28,frame000023.png,frame000028.png,480,0.2562733582487987
23,29,frame000023.png,frame000029.png,364,0.19434063000533902
23,30,frame000023.png,frame000030.png,255,0.13614522156967432
23,31,frame000023.png,frame000031.png,196,0.10464495461825948
23,32,frame000023.png,frame000032.png,174,0.09289909236518953
23,33,frame000023.png,frame000033.png,153,0.08168713294180459
23,34,frame000023.png,frame000034.png,107,0.05737265415549598
24,25,frame000024.png,frame000025.png,897,0.467674661105318
24,26,frame000024.png,frame000026.png,839,0.43743482794577687
